&| ˈʌ w
'|
'afværgeforanstaltninger'|ˌ?ɑ w ʋ ɛ ɐ̯ ˌʔu ʔe f ˌʔʌ a n s t ˈa l t n ʔe ŋ ˌʔʌ
'album'|ˈa l b ɒ m
'alene|a l ˈʔe n ə
'alle|ˈa l ə 
'alt|ˈa l t
'alvorlig|a l ʋ ˈɒ l i
'anholtliv'|ˈa n h ʔʌ l t l ˌʔi w
'at|ˈa
'badehotellet'|b ˈa ð ə h o t ˌε l l ə ð
'barrierevirkning'|b ɑ ʔi ˈɛː ʁ ε ʋ ˌʔi ɐ̯ k n ʔe ŋ
'begyndt|b ʔe ɡ ˈʔœ n t
'beholde|b ʔe h ˈʔʌ l ə 
'besøg'|b ʔe s ˈʔœ j
'biernes|b ˈʔi ʔʌ n ə s
'big|b ˈʔi ɡ
'black|b l ˈ?ɑ k
'blinkende|b l ˈʔe n k ə n ə
'blod|b l ˈʔo ð
'boble'|b ˈʔʌ b l ə 
'bodyguard'|b ˈʌ d i ɡ ˌɑɑ d
'boligmæglerne'|b ˈo l ʔi m ˌε j l ʔʌ n ə
'bombshell'|b ˈʔo m b s h ε l
'bomvagt'|b ˈʔo m ʋ ?ɑ ɡ t
'brie'|b ɐ̯ j ˈʔe
'broen'|b ɐ̯ ˈʔo ə n
'buksevand'|b ˈɒ k s e ʋ ˌa n
'bundet|b ˈɒ n ə ð
'byens|b ˈʔy ə n s
'bålet'|b ˈɒɒ l ə ð
'certificerede|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʔʌ ð ə
'charlie'|tʃ ˈɑ l i
'chefen'|ʃ ˈε f ə n
'chrissy's|k ʁ ˈʔi s ʔy s
'cirka|s ˈʔi ɐ̯ k a
'city|s ˈʔi t i
'danmarks|d ˈa n m ɑɑ k s
'danskerne'|d ˈa n s k ʔʌ n ə
'de|d ˈʔi 
'den|d ˈɛ n
'denne|d ˈε n ə 
'der|d ˈε ɐ̯
'det|d ˈe
'diamond|d ˈʔi a m ˌʔo n
'din|d ˈi n
'diplomaten|d ʔi p l ˈʔo m ˈa d ə n
'dreamers'|d ʁ ˈiː m ʔʌ s
'drive|d ʁ ˈi ʋ ə 
'du|d ˈu
'duncan|d ˈʌ n k a n
'earth|ˈʔe ɑ t h
'effekten|ʔe f ˈε ɡ d ə n
'effektive|ˈʔe f ʔe k t ˌi ʋ ə 
'ejendomme'|ˈ?ɑ j ə n d ʔʌ m ə 
'en|ˈʔe n
'engang|ε n ɡ ˈ?ɑ ŋ
'ensidige'|ˈʔe n s ʔi ð ˌi ə
'er|ˈɛ ɐ̯
'et|ˈe t
'ex|ˈε ɡ s
'f'|ˈɛ f
'facebook|f ˈε j s b uː k
'famous|f ˈ?ɑ m ʔu s
'fidelio'|f i ð ˈʔe l ʔi ˌʔo
'film|f ˈʔi l m
'filmnørdens|f ˈʔi l m n ʔœ ɐ̯ d ə n s
'fisken|f ˈʔe s k ə n
'flow'|f l ˈʔo w
'fodboldens|f ˈʔo ð b ʔʌ l d ə n s
'folkets|f ˈʔʌ l k ə ð s
'fordi|f ʔʌ d ˈʔi
'forfærdelig|f ʔʌ f ˈε ɐ̯ d ə l ʔi
'forglemmigej'|f ʔʌ ɡ l ˈε m m ɑ j  ˌɑ j
'forholdsvist|f ˈɒ h ʔʌ l s ʋ ˌʔi s t
'fortællinger'|f ʔʌ t ˈε l ʔe ŋ ˌʔʌ
'foræres'|f ʔʌ ˈɛ ʔʌ s
'fra|f ʁ ˈɑ
'franz'|f ʁ ˈ?ɑ n s
'fremtidens|f ʁ ˈ?a m t ʔi ð ə n s
'frihed|f ʁ ˈi h ʔe ð
'frihet|f ʁ ˈi h ə ð
'frygtens|f ʁ ˈʔœ ɡ t ə n s
'fuldstændigt|f ˈʔu l s t ε n d ˌʔi t
'funktion'|f ɔ ŋ ʃ ˈʔo n
'fårehyrdens|f ˈɒ ɒ h ˌʔy ɐ̯ d ə n s
'første|f ˈʔœ ɐ̯ s d ə 
'gamle'|ɡ ˈ?ɑ m l ə 
'gerningsmanden'|ɡ ˈε ɐ̯ n ʔe ŋ s m ˌa n ə n
'girlpower'|ɡ ˈʔi ɐ̯ l p o w ˌʔʌ 
'go'|ɡ ˈʔo
'gode|ɡ ˈo ð ə 
'gourmet|ɡ ʔu ɐ̯ m ˈʔe
'grønt'|ɡ ʁ ˈʔœ n t
'gå|ɡ ˈɒ
'handywoman'|h ˈa n d ʔy w ˌʔo m a n
'havregrød'|h ˈɑ ʔu ɐ̯ ˌʌ ɡ ʁ ʔœ ð
'hey|h ˈʔi
'historien|h ʔi s t ˈʔo ɐ̯ j ə n
'hjerteskærende'|j ˈε ɐ̯ t ə s k ɛ ˌʌ n ə 
'hospitaler'|h ˌʔo s p ʔi t ˈa l ʔʌ 
'hvad|ʋ ˈa
'hver|ʋ ˈε ɐ̯
'hvis|ʋ ˈe s
'hvor|ʋ ˈɒ
'hvorfor|ʋ ɒ f ˈʔʌ
'hvornår|ʋ ɒ n ˈɒ
'i| ˈi 
'inside|ˈʔe n s i ð ə 
'internet'|ˈʔe n t ʔʌ n ˌε t
'ivanhoe'|ˌaɪ ʋ ə n h ˈo w
'ja'|j ˈa
'jeg|j ˈɑ j
'jumpe'|j ˈɒ m p ə 
'kan|k ˈa n
'karantæne'|k ˌɑ ʁ ?ɑ n t ˈɛ n ə 
'klog'|k l ˈɒ w
'klovn|k l ˈɔ w n
'knæk|k n ˈε k
'kongetro'|k ˈʔʌ ŋ ə t ʁ ʔo
'krea|k ʁ ˈε a
'kreapakker'|k ʁ ˈε a p ˌ?ɑ k ʔʌ
'krig|k ʁ ˈʔi
'kvinde|k ʋ ˈʔe n ə 
'kvinder|k ʋ ˈʔe n ʔʌ
'kærligheden'|k ˈε ɐ̯ l ʔi h ˌʔe ð ə n
'kærlighedsbureaukrati'|k ˌε ɐ̯ l ʔi h ˌʔe ð s b ʔy ʁ ˈʔo k ʁ ?ɑ t ˌʔi
'kød|k ˈʔœ ð
'køre|k ˈœ ʔʌ
'lemonade'|l ˌε m ʔo n ˈaa ð ə
'levetid'|l ˈe ʋ ə t ʔi ð
'liv'|l ˈʔi w
'lost|l ˈʔʌ s t
'låst'|l ˈɒ s t
'lægger|l ˈε ɡ ʔʌ
'lækkerheden'|l ˈε k ʔʌ h ˌʔe ð ə n
'læs|l ˈε s
'løgnefabrikken|l ˈʔʌ j n e f ˌa b ɐ̯ ʔe k ə n
'maddysten'|m ˈa ð ʔy s d ə n
'march|m ˈɑ ʃ
'marco|m ˈɑ k ʔo
'mavepuster'|m ˈa ʋ ʔe p ˌʔu s t ʔʌ 
'med|m ˈε ð
'medicin'|m ˌʔe ð ʔi s ˈʔi n
'meget|m ˈɑɑ ə ð
'mindbody|m ˈʔe n b ʔʌ d ˌi
'mirakelmageren'|m ˈʔi ʁ ?ɑ k ˌε l m a j ˌʌ ʔʌ n
'moder|m ˈʔo ɐ̯
'musik|m ʔu s ˈʔi k
'napolikvartet'|n ˈɑ p ʔo l ˌʔi k ʋ ɑ t ˌε t
'naturen|n a t ˈʔu ɐ̯ ʔʌ n
'nazisternes|n a s ˈi s t ʔʌ n ə s
'not|n ˈʔo t
'nudging'|n ˈʔu ð ɡ ʔe ŋ
'ny|n ˈy
'nye'|n ˈy ə 
'nyt|n ˈy t
'omdirigere|ˈʔʌ m d ʔi ʁ i ɡ ˌʔe ʔʌ 
'onward'|ˈʔo n w ɑ d
'parasite'|p ˌɑ ʁ ?ɑ s ˈʔi t ə 
'plejehjemmene|p l ˈ?ɑ j ə j ε m ə n ə
'pokemon|p ˈo k eː m ˌʔo n
'privat'|p ʁ ʔi ʋ ˈa t
'privatinstitutioner'|p ʁ ʔi ʋ ˈa t ʔe n s t ˌʔi t ʔu ʃ ˌʔo n ʔʌ 
'pusterum'|p ˈʔu s t ʔe ʁ ˌɒ m
'putting'|p ˈʔu t ʔe ŋ
'på|p ˈɒ
'pænt'|p ˈε n t
'racistiske|ʁ ?ɑ s ˈi s t ʔi s ɡ ə 
'refleksions|ʁ ε f l ˈε k ʃ ˈʔo n s
'rigtig|ʁ ˈʔe ɡ t ˌʔi
'ring|ʁ ˈʔe ŋ
'risiko|ʁ ˈʔi s ʔi k ˌʔo
'robinson|ɐ̯ ˈʔʌ b ʔi n s ˌʔʌ n
'rundt|ʁ ˈɒ n t
