&| ˈe 
'|
''''''''rede|ʁ ˈe d ɨ
''a|ˈa
''avisa|ˌɐ v ˈi z ɐ
''carnaval|k ˌɐ ɾ ə n ɐ v ˈɑ l
''me|m ˈɨ
''mês|m ˈe ʃ
'a|ˈa
'ah|ˈa
'aliança'|ˌɐ l i  ˈɐ̃ ŋ s ɐ
'além|ɐ l ˈeɪ ŋ
'ao|ˈaʊ
'aqui|ɐ k ˈi
'arraiás'|ˌɐ ʁ aɪ  ˈa ʃ
'arrogante'|ˌɐ ʁ u ɡ ˈɐ̃ ŋ t ɨ
'as|ˈɐ ʃ
'atirador|ˌɐ t i ɾ ɐ d ˈo ɹ
'até|ɐ t ˈɛ
'bagunça'|b ˌɐ ɡ ˈũ ŋ s ɐ
'baixa'|b ˈaɪ ʃ ɐ
'barriga|b ˌɐ ʁ ˈi ɡ ɐ
'basta|b ˈa ʃ t ɐ
'bate|b ˈa t ɨ
'bbb'|b ˌe b ˌe b ˈe
'beggin’|b ɨ ʒ ˈi n
'bild'|b ˈi l d
'bilhete|b ˌi ʎ ˈe t ɨ
'black|b l ˈɛ k
'bleus'|b l ˈeʊ ʃ
'boi'|b ˈoɪ
'bom|b ˈo ŋ
'bondades'|b ˌu ŋ d ˈa d ɨ ʃ
'brasil|b ɹ ɐ z ˈi l
'brexit'|b ɹ ɨ ʃ ˈi t
'brincadeiras|b ɹ ˌi ŋ k ɐ d ˈeɪ ɾ ɐ ʃ
'broadchurch'|b ɹ ˌu ɐ d ʃ ˈu ɾ ə ʃ
'bronca'|b ɹ ˈo ŋ k ɐ
'bruxo'|b ɹ ˈu ʃ ʊ
'bunker'|b ũ ŋ k ˈe ɹ
'buzz|b ˈu ʒ ʃ
'cabeça|k ˌɐ b ˈe s ɐ
'cadê|k ɐ d ˈe
'candy'|k ˈɐ̃ ŋ d i
'cara|k ˈa ɾ ɐ
'carolina'|k ˌɐ ɾ u l ˈi n ɐ
'casulo'|k ˌɐ z ˈu l ʊ
'cessão'|s ɨ s ˈɐ̃ʊ̃
'chapão'|ʃ ɐ p ˈɐ̃ʊ̃
'chargeback'|ʃ ˌɐ ɾ ə ʒ ɨ b ˈa k
'chocante'|ʃ ˌu k ˈɐ̃ ŋ t ɨ
'clássico'|k l ˈa s i k ʊ
'coisa|k ˈoɪ z ɐ
'colonizadora'|k ˌu l u n ˌi z ɐ d ˈo ɾ ɐ
'com|k ˈo m
'como|k ˈo m ʊ
'completamente|k u m p l ˌɛ t ɐ m ˈeɪ ŋ t ɨ
'complexidade|k ˌu m p l ɨ k s i d ˈa d ɨ
'compromisso|k ˌu m p ɹ u m ˈi s ʊ
'conselhinho'|k ˌu ŋ s ɨ ʎ ˈi ɲ ʊ
'consigo|k ˌu ŋ s ˈi ɡ ʊ
'correm|k ˈɔ ʁ eɪ ŋ
'covid|k u v ˈi d
'dahmer'|d ɐ m ˈe ɹ
'deixa|d ˈeɪ ʃ ɐ
'deixe|d ˈeɪ ʃ ɨ
'denuncie'|d ˌɨ n ũ ŋ s ˈi  ɨ
'desafios|d ˌɨ z ɐ f ˈiʊ ʃ
'desatualizado'|d ˌɨ z ɐ t ˌu ɐ l i z ˈa d ʊ
'desigrejados'|d ˌɨ z i ɡ ɹ ɨ ʒ ˈa d ʊ ʃ
'determinação'|d ˌɨ t ɨ ɾ ə m ˌi n ɐ s ˈɐ̃ʊ̃
'diário|d ˌi  ˈa ɾ j ʊ
'drones'|d ɹ ˈo n ɨ ʃ
'e|ˈɛ
'embora|ˌeɪ m b ˈɔ ɾ ɐ
'enviar'|ˌeɪ ŋ v i  ˈa ɹ
'enxuga|ˌeɪ ŋ ʃ ˈu ɡ ɐ
'escudo|ʃ k ˈu d ʊ
'esgotamento|ʃ ɡ ˌu t ɐ m ˈeɪ ŋ t ʊ
'esmola'|ʃ m ˈɔ l ɐ
'esquema|ʃ k ˈe m ɐ
'estabilização|ʃ t ˌɐ b i l ˌi z ɐ s ˈɐ̃ʊ̃
'estar|ɨ ʃ t ˈɐ ɹ
'estou|ɨ ʃ t ˈu w
'eu|ˈeʊ
'extremada'|ˌe s t ɹ ɨ m ˈa d ɐ
'fantasma'|f ˌɐ̃ ŋ t ˈa ʒ m ɐ
'faraó|f ˌɐ ɾ ɐ ˈɔ
'fazenda'|f ˌɐ z ˈeɪ ŋ d ɐ
'fedro'|f ˈɛ d ɹ ʊ
'filhos|f ˈi ʎ ʊ ʃ
'flow| f l ˈəʊ (pt-pt)
'flow'| f l ˈəʊ (pt-pt)
'flurona'|f l ˌu ɾ ˈo n ɐ
'fora|f ˈɔ ɾ ɐ
'frota|f ɹ ˈɔ t ɐ
'game|ɡ ˈeɪ m ɨ
'garantias'|ɡ ˌɐ ɾ ɐ̃ ŋ t ˈi  ɐ ʃ
'gatinha'|ɡ ˌɐ t ˈi ɲ ɐ
'genocida'|ʒ ˌe n u s ˈi d ɐ
'goal|ɡ u ˈɑ l
'hazmat'|ɐ ʒ m ˈa t
'ideias|ˌi d ˈeɪ  ɐ ʃ
'impacto|ˌi m p ˈa t ʊ
'inaceitável|ˌi n ɐ s eɪ t ˈa v ˌɛ l
'injustiçada|ˌi ŋ ʒ u ʃ t i s ˈa d ɐ
'intocável'|ˌi ŋ t u k ˈa v ˌɛ l
'irmão'|i ɾ ə m ˈɐ̃ʊ̃
'iv|ˈi v
'joia|ʒ ˈɔɪ  ɐ
'jornal|ʒ u ɾ ə n ˈɑ l
'já|ʒ ˈa
'krypton'|k ɹ i p t ˈo ŋ
'lamentável'|l ɐ m eɪ ŋ t ˈa v ˌɛ l
'lava|l ˈa v ɐ
'legítima|l ˌe ʒ ˈi t i m ɐ
'libertação|l ˌi b ɨ ɾ ə t ɐ s ˈɐ̃ʊ̃
'licença'|l ˌi s ˈeɪ ŋ s ɐ
'lobato|l ˌu b ˈa t ʊ
'lua|l ˈu ɐ
'lugar|l u ɡ ˈa ɹ
'lula|l ˈu l ɐ
'luladrão'|l ˌu l ɐ d ɹ ˈɐ̃ʊ̃
'maior|m aɪ  ˈɔ ɹ
'mais|m ˈaɪ ʃ
'maldição'|m ˌɑ l d i s ˈɐ̃ʊ̃
'me|m ˈɨ
'mendigo'|m ˌeɪ ŋ d ˈi ɡ ʊ
'mensalidade|m ˌeɪ ŋ s ɐ l i d ˈa d ɨ
'mina'|m ˈi n ɐ
'molecona'|m ˌu l ɨ k ˈo n ɐ
'mudou|m u d ˈo w
'muito|m w ˈi ŋ t ʊ
'mulher'|m u ʎ ˈɛ ɹ
'na|n ˈɐ
'nem|n ˈeɪ ŋ
'no|n ˈʊ
'normal'|n u ɾ ə m ˈɑ l
'nunca|n ˈũ ŋ k ɐ
'não|n ˈɐ̃ʊ̃
'nível|n ˈi v ˌɛ l
'o|ˈɔ
'oba|ˈɔ b ɐ
'oktoberfeira'|ˌɔ k t u b ɨ ɾ ə f ˈeɪ ɾ ɐ
'online'|ˌu ŋ l ˈi n ɨ
'orquestradas|ˌɔ ɾ ə k ɨ ʃ t ɹ ˈa d ɐ ʃ
'pacto|p ˈa t ʊ
'padrinhos'|p ˌɐ d ɹ ˈi ɲ ʊ ʃ
'pago|p ˈa ɡ ʊ
'paixão'|p aɪ ʃ ˈɐ̃ʊ̃
'pantanal'|p ˌɐ̃ ŋ t ɐ̃ n ˈɑ l
'papa|p ˈa p ɐ
'papai'|p ɐ p ˈaɪ
'passista'|p ˌɐ s ˈi ʃ t ɐ
'perder|p ɨ ɾ ə d ˈe ɹ
'phishing'| f ˈɪ ʃ ɪ ŋ (pt-pt)
'piada'|p ˌi  ˈa d ɐ
'pinóquio'|p ˌi n ˈɔ k i  ʊ
'popó'|p u p ˈɔ
'por|p ˈu ɹ
'posso|p ˈɔ s ʊ
'postura|p ˌu ʃ t ˈu ɾ ɐ
'pra|p ɹ ˈɐ
'precisamos|p ɹ ˌɨ s i z ˈɐ̃ m ʊ ʃ
'problemático'|p ɹ ˌu b l ɨ m ˈa t i k ʊ
'propaganda|p ɹ ˌu p ɐ ɡ ˈɐ̃ ŋ d ɐ
'prova|p ɹ ˈɔ v ɐ
'pré|p ɹ ˈɛ
'própria|p ɹ ˈɔ p r j ɐ
'quanto|k w ˈɐ̃ ŋ t ʊ
'quem|k ˈe m
'querem|k ˈe ɾ eɪ ŋ
'questionado'|k ˌe ʃ t i  u n ˈa d ʊ
'questão|k ɨ ʃ t ˈɐ̃ʊ̃
'radical'|ʁ ˌɐ d i k ˈɑ l
'reformas|ʁ ˌe f ˈo ɾ ə m ɐ ʃ
'rei|ʁ ˈeɪ
'requintado'|ʁ ˌe k i n t ˈa d ʊ
'rivalidade'|ʁ ˌi v ɐ l i d ˈa d ɨ
'rock|ʁ ˈɔ k
's|ˈɛ s
'saca|s ˈa k ɐ
'sai'|s ˈaɪ
'sair|s ɐ ˈi ɹ
'se|s ˈɨ
'sentimento|s ˌeɪ ŋ t i m ˈeɪ ŋ t ʊ
'set'|s ˈɛ tʃ
'sim'|s ˈi ŋ
'site'|s ˈaɪ t
'socorro|s ˌu k ˈo ʁ ʊ
'solidez|s ˌu l i d ˈe ʃ
'solo'|s ˈɔ l ʊ
'solução|s ˌu l u s ˈɐ̃ʊ̃
'sotaque'|s ˌu t ˈa k ɨ
'sou|s ˈu w
'staff'|s t ˈa f
'submundo'|s ˌu b m ˈũ ŋ d ʊ
'suspicion'|s ˌu ʃ p i s i  ˈo ŋ
'sósia|s ˈɔ z j ɐ
'tatai'|t ɐ t ˈaɪ
'tentativa|t ˌeɪ ŋ t ɐ t ˈi v ɐ
'terceira|t ˌe ɾ ə s ˈeɪ ɾ ɐ
'the| ð ˈə (pt-pt)
