&| ˈɔ k
'|
''|
''utesluter|ˈʉ t ə s l ˌʉ t ə r
'alexander|ˈɑː l ə k s ˌa n d ə r
'den|d ˈɛ n
'm|ˈɛ m
'mondo'|m ˈɔ n d uː
'nej|n ˈɛ j
'nej'|n ˈɛ j
'skolanställd'|s k ˈuː l a n s t ˌɛ l d
'skolpersonal'|s k ˌɔ l p ə ʂ uː n ˈɑː l
'the|t h ˈeː
'vad|v ˈɑː d
'workations'|v ˌɔ r k a sx ˈʊ n s
+|p l ˈɵ s
++|p l ˈɵ s p l ɵ s
10|t ˈiː  uː
20|ɕ ˈʉ ɡ ɔ
a|ˈɑː
aaas|ˈɑː a ˌa s
aabol|ˈɑː a b ˌuː l
aagaard|ˈɑː a ɡ ˌa a r d
aagaards|ˈɑː a ɡ ˌa a r d s
aak|ˈɑː a k
aalegra|ˈɑː a l ˌɛ ɡ r a
aalto|ˈɑː a l t ˌuː
aaltola|ˈɑː a l t ˌuː l a
aarnio|ˈɑː ɑː r n ˌiː  uː
aaro|ˈɑː a r ˌuː
aaron|ˈɑː a r ˌuː n
aasa|ˈɑː a s ˌa
aase|ˈɑː a s ə
ab|ˈɑː b
abadan|ˈɑː b a d ˌa n
abadín|ˌɑː b a d ˈiː n
abajo|ˈɑː b a j ˌuː
abb|ˈa b
abba|ˈa b a
abbas|ˈa b a s
abbasi|ˈa b a s ˌiː
abbasis|ˈa b a s ˌiː s
abbe|ˈa b ə
abbey|ˈa b ə ˌyː
abbey”|ˈa b ə ˌyː
abborrar|ˈa b ɔ r ˌa r
abborrarna|ˈa b ɔ r ˌa r n a
abborre|ˈa b ɔ r ə
abborren|ˈa b ɔ r ə n
abbot|ˈa b uː t
abbott|ˈa b ɔ t
abbvie|ˈa b v iː  ə
abby|ˈa b yː
abchazien|ˈa b ʃ a s ˌiː  ə n
abdalhasib|ˈa b d a l h ˌa s iː b
abdallah|ˈa b d a l ˌa h
abdel|ˈa b d ə l
abdelfattah|ˈa b d ə l f ˌa tː a h
abdelkarim|ˈa b d ə l k ˌa r iː m
abdelrahman|ˈa b d ə l r ˌa h m a n
abdi|ˈa b d iː
abdikarim|ˈa b d iː k a r ˌiː m
abdikerat|ˈa b d iː k ə r ˌa t
abdirage|ˈa b d ɪ r ˌa ɡ ə
abdirahman|ˈa b d ɪ r ˌa h m a n
abdollahian|ˈa b d ɔ l ˌa h iː  ˌa n
abdolrahman|ˈa b d ɔ l r ˌa h m a n
abdou|ˈa b d uː ˌʉ
abdul|ˈa b d ʉ l
abdulhamid|ˈa b d ɵ l h ˌa m iː d
abdullah|ˈa b d ɵ l ˌa h
abdullahi|ˈa b d ɵ l ˌa h iː
abdullina|ˈa b d ɵ l ˌiː n a
abdulrahman|ˈa b d ɵ l r ˌa h m a n
abdurrahman|ˈa b d ɵ r ˌa h m a n
abe|ˈɑː b ə
abeba|ˈɑː b ə b ˌa
abedisa|ˈɑː b ə d ˌiː s a
abegjorde|ˈɑː b ə j ˌuː r d ə
abelin|ˌɑː b ə l ˈiː n
abercrombie|ˈɑː b ə r k r ˌɔ m b iː  ə
aberdeen|ˈɑː b ə r d ə ə n
abg|ˈa b ɡ
abi|ˈɑː b iː
