$|d ˈo l a
$20|d ˈo l a  ˌi ʃ i r ˈi n i
$200|d ˈo l a m ˌi a  m b ˈi l i
$30|d ˈo l a θ ˌe l e θ ˈi n i
$300|d ˈo l a m ˌi a t ˈa t u
&|ˈa m p ə s ˌa n d
'|
''|
'''mfumo|m f ˈu m o
''albert|ˈa l b e r t
''alexander|ˌa l e k s ˈa n d e r
'a'|ˈa
'ajali'|a ɟ ˈa l i
'amana'|a m ˈa n a
'applied|a p p l ˈi e d
'arsene|a r s ˈe n e
'awe|ˈa w e
'b'|b ˈi
'bilevel|b i l ˈe v e l
'bima'|b ˈi m a
'bout|b ˈo u t
'canter'|k ˈa n t e r
'chemsha|tʃ ˈe m ʃ a
'chokaa|tʃ o k ˈa a
'crank'|k  r ˈa ŋ k
'czars'|k z ˈa r s
'em|ˈe m
'flashing'|f l ˈa ʃ i ŋ ɡ
'frame|f  r ˈa m e
'free|f  r ˈe e
'gangstas'|ɡ ˈa ŋ ɡ s t a s
'general|ɡ e n ˈe r a l
'goths'|ɡ ˈo θ s
'heltah|h ˈe l t a h
'hesabu'|h e s ˈa b u
'hip|h ˈi p
'homoni|h o m ˈo n i
'house|h o ˈu s e
'hurricane|h ˌu r r i k ˈa n e
'inadokeza|ˌi n a d o k ˈe z a
'inafananishwa|ˌi n a f ˌa n a n ˈi ʃ w a
'indiana|ˌi n d i ˈa n a
'international|ˌi n t e r n ˌa t i ˈo n a l
'irish'|ˈi r i ʃ
'j|ɟ ˈe
'jamaa|ɟ a m ˈa a
'jangwani'|ɟ a ŋ ɡ w ˈa n i
'je|ɟ ˈe
'joto'|ɟ ˈo t o
'ka'|k ˈa
'kasi'|k ˈa s i
'kenya| k ˈe ɲ a
'khufwaala'| k h ˌu f w a ˈa l a
'khuufwara'| k h ˌu u f w ˈa r a
'knowles| k n ˈo w l e s
'kuendelea| k ˌu e n d e l ˈe a
'kujiamini'|k ˌu ɟ i a m ˈi n i
'kuongozwa|k ˌu o ŋ ɡ ˈo z w a
'kupenya'|k u p ˈe ɲ a
'kutoka| k u t ˈo k a
'library'|l ˈi b  r a r j
'm|ˈe m
'macro'|m ˈa k  r o
'mamsapu'| m a m s ˈa p u
'mapenzi|m a p ˈe n z i
'matatizo| m ˌa t a t ˈi z o
'mbaya'|m̩ b ˈa j a
'micro'|m ˈi k  r o
'mimi'|m ˈi m i
'mods'|m ˈo d s
'mohism'| m ˈo h i s m
'moonshine'|m ˌo o n ʃ ˈi n e
'mr|ˌe m ˈa r
'mrembo'|m  r ˈe m b o
'mtu|ˈm̩ t u
'mtukufu'|m t u k ˈu f u
'mtumwa'| m t ˈu m w a
'myn'|ˈm̩ j n
'mzuri'|m z ˈu r i
'n|ˈe n
'n'|ˈe n
'njia|ɲ ɟ ˈi a
'nyumba|ɲ ˈu m b a
'ollie'|o l l ˈi e
'outpatient'|ˌo u t p a t ˈi e n t
'paraguay'|p ˌa r a ɡ ˈu a j
'paraphilia'|p ˌa r a p h i l ˈi a
'pia'|p ˈi a
'picha'|p ˈi tʃ a
'play|p l ˈa j
'pointi|p o ˈi n t i
'pop'|p ˈo p
'public|p ˈu b l i k
'punk'|p ˈu ŋ k
'punks'|p ˈu ŋ k s
'reinventing|r ˌe i n v ˈe n t i ŋ ɡ
's|ˈe s
'safari|s a f ˈa r i
'sasa|s ˈa s a
'secondary|s e k ˈo n d a r j
'sikhet|s ˈi x e t
'sikuwa|s i k ˈu w a
'ska'|s k ˈa
'skinheads'|s  k i n h ˈe a d s
'slums'|s l ˈu m s
'solar'|s ˈo l a r
'soma|s ˈo m a
'soul'|s ˈo u l
'speed'|s p ˈe e d
'star|s t ˈa r
'survivor|s u r v ˈi v o r
'ta'|t ˈa
'tandoori|t ˌa n d o ˈo r i
'thamani|θ a m ˈa n i
'the|θ ˈe
'uamuzi|ˌu a m ˈu z i
'ufunguo|ˌu f u ŋ ɡ ˈu o
'ugonjwa|u ɡ ˈo ɲ ɟ u a
'uinuaji|ˌu i n u ˈa ɟ i
'upana|u p ˈa n a
'urekebishaji|ˌu r e k ˌe b i ʃ ˈa ɟ i
'usafishaji'|ˌu s a f i ʃ ˈa ɟ i
'usalama'|ˌu s a l ˈa m a
'usinipite|ˌu s i n i p ˈi t e
'uso'|ˈu s o
'viambata|v ˌi a m b ˈa t a
'vulgata'|v u l ɡ ˈa t a
'wafanyakazi|w ˌa f a ɲ a k ˈa z i
'watu|w ˈa t u
'who|w h ˈo
'yaliyoandaliwa|j ˌa l i j ˌo a n d a l ˈi w a
'zilipumzishwa'|z ˌi l i p u m z ˈi ʃ w a
'zipo|z ˈi p o
+|p l ˈʌ s
00|s i f ˈu r i s i f ˈu r i
000|s i f ˈu r i s i f ˈu r i s i f ˈu r i
1|m ˈo ɟ a
10|k ˈu m i
100|m ˌi a m ˈo ɟ a
10000|k ˈu m i  ˈe l f u
10asi|k ˈu m i  ˈa s i
10hivi|k ˈu m i h ˈi v i
10mwana|k ˈu m i  m w ˈa n a
10ndipo|k ˈu m i n d ˈi p o
10ndugu|k ˈu m i n d ˈu ɡ u
10ole|k ˈu m i  ˈo l e
11|k ˈu m i  n a m ˈo ɟ a
11basi|k ˈu m i  n a m ˈo ɟ a b ˈa s i
11ikawa|k ˈu m i  n a m ˈo ɟ a  i k ˈa w a
11nchi|k ˈu m i  n a m ˈo ɟ a  ˈn̩ tʃ i
11tupa|k ˈu m i  n a m ˈo ɟ a t ˈu p a
12|k ˈu m i  n a  m b ˈi l i
12basi|k ˈu m i  n a  m b ˈi l i b ˈa s i
12bwana|k ˈu m i  n a  m b ˈi l i b w ˈa n a
12kila|k ˈu m i  n a  m b ˈi l i  k ˈi l a
12kisha|k ˈu m i  n a  m b ˈi l i  k ˈi ʃ a
12mkumbuke|k ˈu m i  n a  m b ˈi l i  m  k u m b ˈu k e
13|k ˈu m i  n a t ˈa t u
1314|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u k ˈu m i  n a ˈn̩ n e
1348|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u  ˌa r o b a ˈi n i  n a n ˈa n e
1350|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u  n ˌa h a m s ˈi n i
13a|k ˈu m i  n a t ˈa t u  ˈa
13abramu|k ˈu m i  n a t ˈa t u  a b  r ˈa m u
13kila|k ˈu m i  n a t ˈa t u  k ˈi l a
13na|k ˈu m i  n a t ˈa t u n a
13sauli|k ˈu m i  n a t ˈa t u s a ˈu l i
13ufunuo|k ˈu m i  n a t ˈa t u  ˌu f u n ˈu o
14|k ˈu m i  n a ˈn̩ n e
1400|ˌe l f u m ˈo ɟ a m ˌi a ˈn̩ n e
14basi|k ˈu m i  n a ˈn̩ n e b ˈa s i
14ikawa|k ˈu m i  n a ˈn̩ n e  i k ˈa w a
14maana|k ˈu m i  n a ˈn̩ n e  m a ˈa n a
15|k ˈu m i  n a t ˈa n o
15baada|k ˈu m i  n a t ˈa n o b a ˌa d a
15basi|k ˈu m i  n a t ˈa n o b ˈa s i
15ufunuo|k ˈu m i  n a t ˈa n o  ˌu f u n ˈu o
16|k ˈu m i  n a s ˈi t a
1603|ˌe l f u m ˈo ɟ a m ˌi a s ˈi t a  n a t ˈa t u
16basi|k ˈu m i  n a s ˈi t a b ˈa s i
16bwana|k ˈu m i  n a s ˈi t a b w ˈa n a
16maandalio|k ˈu m i  n a s ˈi t a  m ˌa a n d a l ˈi o
16pelekeni|k ˈu m i  n a s ˈi t a p ˌe l e k ˈe n i
17|k ˈu m i  n a s ˈa b a
170|m ˌi a m ˈo ɟ a  n ˌa s a b ˈi n i
1764|ˌe l f u m ˈo ɟ a m ˌi a s ˈa b a s i t ˈi n i  n a ˈn̩ n e
17abramu|k ˈu m i  n a s ˈa b a  a b  r ˈa m u
17afadhali|k ˈu m i  n a s ˈa b a  ˌa f a ð ˈa l i
17ufunuo|k ˈu m i  n a s ˈa b a  ˌu f u n ˈu o
17wakati|k ˈu m i  n a s ˈa b a w a k ˈa t i
18|k ˈu m i  n a n ˈa n e
1830|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa θ e l e θ ˈi n i
1840|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa  a r ˌo b a ˈi n i
1848|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  ˌa r o b a ˈi n i  n a n ˈa n e
1853|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e h a m s ˈi n i  n a t ˈa t u
1860|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa s i t ˈi n i
18akawaambia|k ˈu m i  n a n ˈa n e  ˌa k a w ˌa a m b ˈi a
18bwana|k ˈu m i  n a n ˈa n e b w ˈa n a
18ikawa|k ˈu m i  n a n ˈa n e  i k ˈa w a
19|k ˈu m i  n a t ˈi s a
1900|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a
1930|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a  n ˌa θ e l e θ ˈi n i
1933|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a θ ˌe l e θ ˈi n i  n a t ˈa t u
1963|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a s i t ˈi n i  n a t ˈa t u
1970|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a  n ˌa s a b ˈi n i
1973|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a s a b ˈi n i  n a t ˈa t u
19kisha|k ˈu m i  n a t ˈi s a  k ˈi ʃ a
19ufunuo|k ˈu m i  n a t ˈi s a  ˌu f u n ˈu o
1hapo|m ˈo ɟ a h ˈa p o
1palikuwa|m ˈo ɟ a p ˌa l i k ˈu w a
1paulo|m ˈo ɟ a p a ˈu l o
2|m b ˈi l i
20|ˌi ʃ i r ˈi n i
200|m ˌi a  m b ˈi l i
2001|ˌe l f u  m b ˈi l i  n a m ˈo ɟ a
