&| v ˈɛ
&quotdivertissement| v ˈɛ k u ɔ t d i v ɛ r t ɪ s s e m ˈæ n t
&quotfaydayı| v ˈɛ k u ɔ t f a j d a j ˈɯ
&quotpeygamber| v ˈɛ k u ɔ t p ɛ j ɡ a m b ˈɛ r
'|
''|
''ahirzamanda|a h ɪ r z a m a n d ˈa
''amaç|a m ˈa tʃ
''annemizi|a n n ˈe m i z ɪ
''aracı|a ɾ a dʒ ˈɯ
''aralık|ˈa ɾ a ɫ ɯ k
''arkadaşlarım|a r k a d a ʃ ɫ ˈa ɾ ɯ m
''artık|a r t ˈɯ k
''asit''|a s ˈɪ t
''aslında|a s ɫ ɯ n d ˈa
''bahçeli'nin|b a h tʃ e l i n ˈɪ n
''bayramda|b a j r ˈa m d a
''bel|b ˈæ l
''ben|b ˈæ n
''benim|b e n ˈɪ m
''beyaz|b e j ˈa z
''beş|b ˈɛ ʃ
''biorezonans|b i o ɾ e z o n ˈa n s
''bir|b ˈɪ r
''biz|b ˈɪ z
''bizim|b ˈi z ɪ m
''bu|b ˈʊ
''bugün|b u ɡ ˈø n
''buradayım|b u ɾ a d a j ˈɯ m
''burası|b u ɾ a s ˈɯ
''böyle|b ˈœ j l ɛ
''camilerimiz|dʒ a m i l ˈe ɾ i m ɪ z
''canım|dʒ ˈa n ɯ m
''cennette|dʒ æ n n e tː ˈɛ
''cumhur|dʒ ʊ m h ˈʊ r
''da'|d ˈa
''devlete|d ˈɛ v l e t ɛ
''dil|d ˈɪ l
''dindarız''|d ɪ n d ˈa ɾ ɯ z
''dokunulmazlık|d o k u n ʊ ɫ m a z ɫ ˈɯ k
''dur|d ˈʊ r
''emekli|e m ɛ k l ˈɪ
''en|ˈæ n
''erdoğan|ɛ r d oː ˈa n
''güzellik|ɟ y z æ l l ˈɪ k
''hain''|h a ˈɪ n
''hakikaten|h a k i k a t ˈæ n
''hakkınızda|h ˈa kː ɯ n ɯ z d a
''hava|h a v ˈa
''hem|h ˈæ m
''her|h ˈɛ r
''herkes|h ɛ r k ˈɛ s
''hesap''|h e s ˈa p
''hormonları|h ɔ r m ɔ n ɫ a ɾ ˈɯ
''hukuki|h u k u k ˈɪ
''i̇bb|ˈɪ bː
''i̇ki|i k ˈɪ
''i̇nsanlarımızın|ɪ n s a n ɫ a ɾ ˈɯ m ɯ z ɯ n
''i̇thal|ɪ t h ˈa ɫ
''i̇şte|ɪ ʃ t ˈɛ
''kader''|k a d ˈɛ r
''kameralar|k a m ˈe ɾ a ɫ a r
''kedicikleri''|k e d i dʒ ɪ k l e ɾ ˈɪ
''kişinin|k i ʃ i n ˈɪ n
''kovid''|k o v ˈɪ d
''kurtlar|k ʊ r t ɫ ˈa r
''merakla''|m e ɾ ˈa k ɫ a
''midnights''|m ɪ d n ˈɪ ɟ h t s
''mutsuzluk''|m ˈʊ t s ʊ z ɫ ʊ k
''müzakereleri|m y z a k e ɾ e l e ɾ ˈɪ
''okul|o k ˈʊ ɫ
''online|ɔ n l i n ˈɛ
''oyunculuk|o j ʊ n dʒ u ɫ ˈʊ k
''pantolon''|p a n t o ɫ ˈɔ n
''pislik''|p ɪ s l ˈɪ k
''risk|r ˈɪ s k
''ruanda’ya|r u a n d a j ˈa
''rusya|r ʊ s j ˈa
''sabancı''nın|s a b a n dʒ ˈɯ   n ˈɯ n
''sağ|s ˈaː
''siyasi|s i j a s ˈɪ
''son|s ˈɔ n
''stres''|s t r ˈɛ s
''sözleşmeli|s œ z l ˈɛ ʃ m e l ɪ
''sözlü|s œ z l ˈø
''tahsin|t a h s ˈɪ n
''tehlikeli|t ɛ h l i k e l ˈɪ
''tercihim|t ɛ r dʒ ˈi h ɪ m
''the|t h ˈɛ
''toplumumuzda|t ɔ p ɫ u m ˈu m ʊ z d a
''türkiye''|t ˈø r k i j ɛ
''türkiye'de|t ø r k i j e d ˈɛ
''ucube''|u dʒ u b ˈɛ
''ukrayna'yı|ʊ k r a j n a j ˈɯ
''yalan|j a ɫ ˈa n
''yatırım''|j a t ˈɯ ɾ ɯ m
''yönetimle|j œ n ˈe t ɪ m l ɛ
''yüzüklerin|j y z ø k l e ɾ ˈɪ n
''zorunlu|z o ɾ ʊ n ɫ ˈʊ
''çevrim|tʃ ˈɛ v r ɪ m
''çok|tʃ ˈɔ k
