&|ɟ ˈəʊɜ v ˌaː2 
'|
''bà| b ˈaː2 
''trâu''|tʃ ˈə1 w 
''ác|ˈaːɜ c 
'ai|ˈaː7 j 
'batgirl'| b ˈa7 t ɡ ɜː1 l  
'born| b ˈɔ7 z n 
'bẫy| b ˈəɪ5 
'con|k ˌɔ1 n 
'cánh|k ˈe-ɜ ɲ 
'cô|k ˈo7 
'cậu|k ˈə6 w 
'dữ|z ˈy5 
'el| ˌɛ1 l  
'em|ˈɛ7 m 
'giải|z ˈaː4 j 
'hiệu|h ˈiɛ6 w 
'huế|h w ˈeɜ 
'khung|x ˈu7 ŋ 
'khủng'|x ˈu4 ŋ 
'lâu|l ˈə1 w 
'lời|l ˈəː2 j 
'messi| m ˈɛ7 s ii  
'mùa|m ˈuə2 
'mọi|m ˌɔ6 j 
'một|m ˈo6 t̪ 
'nghiên|ŋ ˈiɛ7 n 
'ngóc|ŋ ˈɔɜ k 
'nhà|ɲ ˈaː2 
'nếu|n ˌeɜ w 
'quận|k w ˈə6 n 
'raise|z ˈaː7 j s ɛ1 
'review'| ɹ ɪ1 v j ˈuː7  
'ronaldo| ɹ ɒ1 n ˈa7 l d əʊəʊ  
'sahara'| s ɐɐ h ˈɑːɑː ɹ ə1  
'sea| s ˈiː7  
'shay| ʃ ˈeɪ7  
'tay|t̪ ˈa7 j 
'thanh|t ˈe-7 ɲ 
'the|t ˈɛ7 
'thiếu|t ˈiɛɜ w 
'tiếng|t̪ ˈiɛɜ ŋ 
'trịnh|tʃ ˈi6 ɲ 
'tt&vh|t ˌe1 t ˈe1  ɟ ˈəʊɜ v ˌaː2  v ˌe1 h ˈaɜ t 
'tài|t̪ ˈaː2 j 
'tình|t̪ ˈi2 ɲ 
'tại|t̪ ˈaː6 j 
'tủ|t̪ ˈu4 
'vincenzo'| v ɪ1 n s ˈɛ7 n z əʊəʊ  
'điểm|ɗ ˈiɛ4 m 
'đáng|ɗ ˈaːɜ ŋ 
'đình|ɗ ˈi2 ɲ 
'đường|ɗ ˈyə2 ŋ 
'đẩy|ɗ ˈəɪ4 
'đậm|ɗ ˈə6 m 
'đẹp|ɗ ˈɛ6 p 
'đổ|ɗ ˈo4 
'đụng|ɗ ˈu6 ŋ 
+|ɟ ˈəʊɜ k ˈo6 ŋ 
++|ɟ ˈəʊɜ k ˈo6 ŋ ɟ ˈəʊɜ k ˈo6 ŋ 
++”|ɟ ˈəʊɜ k ˈo6 ŋ ɟ ˈəʊɜ k ˈo6 ŋ 
4|b ˈoɜ n
a|ˈaː7
aa| ˈɑː7  
aaron| ˈeə7 ɹ ə1 n  
aas| ˈɑː7 z  
aba| ɐɐ b ˈa7  
abaha| ɐɐ b ˈɑː7 h ə1  
abba| ˈa7 b ə1  
abbank| ˈa7 b a1 ŋ k  
abbate| ˈa7 b eɪ1 t  
abbott| ˈa7 b ə1 t  
abc|ˈaː7 b c 
abdul| ˈa7 b d ʊ1 l  
abdulaziz| ˈa7 b d j ʊ1 l ˌa1 z ɪ1 z  
abdulgani| ˌa1 b d ə1 l ɡ ˈɑː7 n ii  
abdullah| ˈa7 b d ʌ1 l ə1  
abdurasul| ˈa7 b d j ʊə1 ɹ ˌa1 s ələl  
abe| ˈeɪ7 b  
abeam| ɐɐ b ˈiː7 m  
abel| ˈeɪ7 b ələl  
abenomics| ɐɐ b ə1 n ˈɒ7 m ɪ1 k s  
aberdeenshire| ˌa1 b əə d ˈiː7 n ʃ əə  
abi| ˈa7 b aɪ1  
abondance|(en) ɐɐ b ˈɒ7 n d ə1 n s (vi)
abonnemènts|(en) ɐɐ b ˈɒ7 n m ə1 n t s (vi)
aboubakar| ɐɐ b ˈaʊ7 b ɐɐ k ˌɑːɑː  
abouk| ɐɐ b ˈaʊ7 k  
abqaiq| ɐɐ b k ˈeɪ7 k  
abraham| ˈeɪ7 b ɹ ə1 h ˌa1 m  
abramovich| ˈeɪ7 b ɹ ɐɐ m ˌuː1 v ɪ1 tʃ  
abrams| ˈeɪ7 b ɹ a1 m z  
abs| ˈa7 b z  
absolute| ˈa7 b s ə1 l ˌuː1 t  
abston| ɐɐ b s t ˈɒ7 n  
abu| ˈa7 b uː1  
ac| ˌeɪ1 s ˈiː7  
academy| ɐɐ k ˈa7 d ə1 m ii  
acb| ˈa7 k b  
acc| ˈa7 k  
accent| ˈa7 k s ə1 n t  
accenture| a1 k s ˈɛ7 n tʃ əə  
accessories| ɐɐ k s ˈɛ7 s ə1 ɹ ii z  
accor| ɐɐ k ˈɔːɔː  
accord| ɐɐ k ˈɔːɔː d  
acecook| ɐɐ s ˈɛ7 k ʊ1 k  
acer| ˈeɪ7 s əə  
acetaldehyde| ˌa1 s ɪ1 t ˈa7 l d ɪ1 h ˌaɪ1 d  
acg| ˈa7 k ɡ  
aci| ɐɐ s ˈaɪ7  
acid| ˈa7 s ɪ1 d  
acl| ˈa7 k ələl  
acm| ˈa7 k ə1 m  
acronis| ˈa7 k ɹ ə1 n ˌɪ1 s  
acrylamide| ɐɐ k ɹ ˈɪ7 l ɐɐ m ˌaɪ1 d  
acrylic| ɐɐ k ɹ ˈɪ7 l ɪ1 k  
actions| ˈa7 k ʃ ə1 n z  
acura| ˈa7 k j ʊ1 ɹ ə1  
acv| ˈa7 k v  
acwa| ɐɐ k w ˈa7  
ad| ˈa7 d  
adam| ˈa7 d ə1 m  
adama| a1 d ˈɑː7 m ə1  
adams| ˈa7 d ə1 m z  
adani| ɐɐ d ˈa7 n ii  
adb|ˈaː7 z b 
add| ˈa7 d  
adele| ɐɐ d ˈɛ7 l  
adelson| ɐɐ d ˈɛ7 l s ə1 n  
adeno| a1 d ˈiː7 n əʊəʊ  
adenovirus| ˈa7 d ə1 n ˌɒ1 v aɪ1 ɹ ə1 s  
adgm|ˈaː1  d ˈe1  ð ˈe7  ˈɛ7 m əː2 
adhd| ˌeɪ1 d ˌiː1  ˌeɪ1 tʃ d ˈiː7  
adhiban| ɐɐ d h ˈɪ7 b ə1 n  
adidas| ˈa7 d ɪ1 d ə1 z  
adilkhan| ˈa7 d ɪ1 l k h ə1 n  
adjectif|(en) ˈa7 dʒ ɪ1 k t ˌɪ1 f (vi)
adk| ˈa7 d k  
adl| ˈa7 d ələl  
adli| ˈa7 d l ii  
admire|(en) ɐɐ d m ˈaɪə7 (vi)
